//¨¬?¨ùo¢¬i	CN¡¾U¢¬iA¨£	AI¡Æ©ªAo¢¥E	Eu	A¨ù¡¤A	©öIA¢¬	Ao¢¥E	¢¬iA©¬¡¤u	©ö©¡¨úiA©÷(E¢¬CC)	A¨úA¡¤	E¡ÌAu¨ù¨¬	¨ù¨¬¨¬¡Æ	¡¤©ö¨¬¡×	¨¬nCa¡¤©ö¨¬¡×	A¨Ï¡¾a	¥ìi¡¾¨­	¨¡AA¡À	A¡ì¢¬¡Ì¢¬¢ÒA?©ö¡ì	¡íc¢¯eA?©ö¡ì	AuAoCa¥ì¢¯©öY¡Æ©¡	AO¨ùOA¢¬¡ÆYA¢®	AO¢¥eA¢¬¡ÆYA¢®	¡Æ©ª¡ÆY1(¡¾a¨¬¡í)	¡Æ©ª¡ÆY2(¡¾a¨¬¡í)	¡Æ©ª¡ÆY3(¨¡?¨ùo)	¡Æ¢®¡¤I¡Æ¢®A©¬A¢®	CA¡¤©öAO¨ùO¥ì¥ì	¡íc¨ù¡¾¡Æ¢®A©¬A¢®	Ai¢¬¡Ì¡¾a¡Æ¢®A©¬A¢®	¡Æ¢®¨ö¢¯ ¨¬nA©÷	¢¬O¢¬¢ç ¨¬nA©÷	¨¡E ¨¬nA©÷	¢¥U¢¬¢ç ¨¬nA©÷	¡Æ©ª¡ÆY¨ùO¥ì¥ì	Ac¡Æ©ª¡ÆY¨ùO¥ì¥ì	HP¨¬¢¬¢¯I	MP¨¬¢¬¢¯I	A©¬¡Æ¢®©ö©¡¨úiA¢®	¢¬¢Ò¢¬©£¥ì¥ì	¡Æ©¡¥ì¥ì	A©¬¡Æ¢®¡Æ©ª¡ÆY¨ùO¥ì¥ìAuCI	¢¬o¨ö¨¬AI ¨ùO¨ù¨¬	¨ùO¨ù¨¬¡Æ¨£	¡¤©ö¨¬¡× on off	AI¥ì¢¯¨ùO¥ì¥ì	¡ÆAAOAo¢¯¨£	¨¬nCaA?©ö¡ì	©øoAI¢ÒU¡¾a	¢¬O¢¬¢ç¢ÒU¡¾a	A¢Ò¡¤AA?©ö¡ì	¢¬¢Ò©öyAuC¡¿	Au¡¾aAuC¡¿	¨¬OAuC¡¿	©öU¢Ò¡ÀAuC¡¿	©ö¡ÆAuC¡¿	¢Ò¡ÍAuC¡¿	A|¡Æ©ª¡¾Y¨ú¡¿	A|¡Æ©ªAc¡¤a	Ac¡¤a¨úc	Ac¡¤aAAAy¥ì¥ì	¨öAA¨ùA?Ao¨öA¡Æ¡Ì	¨ú¨¡AIAU¡íy¨ù¨¬¨¬¢¬A¢´¡Æ¨£	¡Æ©¡CeA¢®	¨¬nCa¡Æ©¡CeA¢®	¢¬o¡íoAA	A©¬¡Æ¢®¢¥E¡¤A	A¡¿A¨öA?©ö¡ì	¡Æ¢®¡ío¨ú¨¡AIAU1	¡Æ¢®¡ío¨ú¨¡AIAUA¢¬AO	¡Æ¢®¡ío¨ú¨¡AIAU1	¡Æ¢®¡ío¨ú¨¡AIAUA¢¬AO	¡Æ¢®¡ío¨ú¨¡AIAU1	¡Æ¢®¡ío¨ú¨¡AIAUA¢¬AO	¡Æ©ª¡ÆYE¢¯¡ÆuA¨ö1	¡Æ©ª¡ÆYE¢¯¡ÆuA¨ö2	A¡¿¢¥AE¢¯¡ÆuA¨ö1	A¡¿¢¥AE¢¯¡ÆuA¨ö2	CCC¨ªE¢¯¡ÆuA¨ö1	CCC¨ªE¢¯¡ÆuA¨ö2	CCC¨ªE¢¯¡ÆuA¨ö3	©ö©¡¡ÆuE¢¯¡ÆuA¨ö1	©ö©¡¡ÆuE¢¯¡ÆuA¨ö2	CN¡¾U¨ù©ø¢¬i	AaCoAo¢¯¨£	NPC ¢¬¢ÒA¨Ï	¢¬¢Ò¥ìa¢¬¢ç¡Æ¡Í¨¡¡ÀAI¨¡¢ç
//dwID	szName	dwAI	dwStr	dwSta	dwDex	dwInt	dwHR	dwER	dwRace	dwBelligerence	dwGender	dwLevel	dwFilghtLevel	dwSize	dwClass	bIfPart	dwKarma	dwUseable	dwActionRadius	dwAtkMin	dwAtkMax	dwAtk1	dwAtk2	dwAtk3	dwHorizontalRate	dwVerticalRate	dwDiagonalRate	dwThrustRate	dwChestRate	dwHeadRate	dwArmRate	dwLegRate	dwAttackSpeed	dwReAttackDelay	dwAddHp	dwAddMp	dwNaturealArmor	nAbrasion	nHardness	dwAdjAtkDelay	eElementType	wElementAtk	dwHideLevel	fSpeed	dwShelter	bFlying	dwJumpIng	dwAirJump	bTaming	dwResisMagic	fResistElecricity	fResistFire	fResistWind	fResistWater	fResistEarth	dwCash	dwSourceMaterial	dwMaterialAmount	dwCohesion	dwHoldingTime	dwCorrectionValue	dwExpValue	nFxpValue	nBodyState	dwAddAbility	bKillable	dwVirtItem1	dwVirtType1	dwVirtItem2	dwVirtType2	dwVirtItem3	dwVirtType3	dwSndAtk1	dwSndAtk2	dwSndDie1	dwSndDie2	dwSndDmg1	dwSndDmg2	dwSndDmg3	dwSndIdle1	dwSndIdle2	szComment	dwAreaColor	szNpcMark	dwMadrigalGiftPoint
MI_DEFAULT	IDS_PROPMOVER_TXT_000000	AII_MOVER	10	10	10	10	10	10	=	BELLI_PEACEFUL	=	=	=	=	=	0	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	=	=	=	0	0	=	0.1	=	0	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	0	0	=	=	0	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000001	=	=	0
MI_MALE  	IDS_PROPMOVER_TXT_000002	AII_MOVER	10	10	10	10	10	10	=	BELLI_PEACEFUL	=	=	65	=	RANK_CITIZEN	1	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	130	0	=	0	0	=	0.1	=	0	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	0	0	=	=	0	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000003	=	JobNPC	0
MI_FEMALE	IDS_PROPMOVER_TXT_000004	AII_MOVER	10	10	10	10	10	10	=	BELLI_PEACEFUL	=	=	65	=	RANK_CITIZEN	1	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	130	0	=	0	0	=	0.1	=	0	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	0	0	=	=	0	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000005	=	JobNPC	0
//																																																																																					
MI_AIBATT1	IDS_PROPMOVER_TXT_000006	AII_MONSTER	15	20	15	13	40	3	=	BELLI_MELEE2X	=	1	=	=	RANK_LOW	0	=	1	=	15	16	II_WEA_MOB_AIBATT1_ATK1    	II_WEA_MOB_AIBATT1_ATK2    	II_WEA_MOB_AIBATT1_ATK3    	=	=	=	=	=	=	=	=	1000	6000	120	100	3	130	0	=	4	1	=	0.075	=	0	=	=	=	1	0	-0.3	0	0	0.3	8	=	=	=	=	25	2	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000007	AREA_NORMAL	=	31
MI_AIBATT2	IDS_PROPMOVER_TXT_000008	AII_MONSTER	15	20	15	13	40	3	=	BELLI_MELEE2X	=	1	=	=	RANK_NORMAL	0	=	1	=	15	16	II_WEA_MOB_AIBATT2_ATK1    	II_WEA_MOB_AIBATT2_ATK2    	II_WEA_MOB_AIBATT2_ATK3    	=	=	=	=	=	=	=	=	1000	6000	148	100	3	130	0	=	4	1	=	0.075	=	0	=	=	=	1	0	-0.3	0	0	0.3	8	=	=	=	=	50	2	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000009	AREA_NORMAL	=	31
MI_AIBATT3	IDS_PROPMOVER_TXT_000010	AII_MONSTER	15	20	17	14	40	5	=	BELLI_MELEE2X	=	2	=	=	RANK_CAPTAIN	0	=	1	=	16	17	II_WEA_MOB_AIBATT3_ATK1    	II_WEA_MOB_AIBATT3_ATK2    	II_WEA_MOB_AIBATT3_ATK3    	=	=	=	=	=	=	=	=	1000	5500	190	100	5	130	0	=	4	1	=	0.08	=	0	=	=	=	2	0	-0.3	0	0	0.3	10	=	=	=	=	16	3	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000011	AREA_NORMAL	=	31
MI_AIBATT4	IDS_PROPMOVER_TXT_000012	AII_MONSTER	15	20	23	20	60	9	=	BELLI_MELEE2X	=	5	=	=	RANK_BOSS	0	=	1	=	101	106	II_WEA_MOB_AIBATT4_ATK1    	II_WEA_MOB_AIBATT4_ATK2    	II_WEA_MOB_AIBATT4_ATK3    	=	=	=	=	=	=	=	=	1000	3000	14326	100	10	130	0	=	1	1	=	0.075	=	0	=	=	=	5	0	0	0.3	-0.3	0	98	=	=	=	=	70	40	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000013	AREA_NORMAL	=	600
MI_MUSHPANG1	IDS_PROPMOVER_TXT_000014	AII_MONSTER	15	20	19	16	40	6	=	BELLI_MELEE2X	=	3	=	=	RANK_LOW	0	=	1	=	18	19	II_WEA_MOB_MUSHPANG1_ATK1    	II_WEA_MOB_MUSHPANG1_ATK2    	II_WEA_MOB_MUSHPANG1_ATK3    	=	=	=	=	=	=	=	=	1000	5500	305	100	6	130	0	=	5	1	=	0.075	=	0	=	=	=	3	0.3	0	-0.3	0	0	12	=	=	=	=	25	4	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000015	AREA_NORMAL	=	31
MI_MUSHPANG2	IDS_PROPMOVER_TXT_000016	AII_MONSTER	15	20	19	16	40	6	=	BELLI_MELEE2X	=	3	=	=	RANK_NORMAL	0	=	1	=	18	19	II_WEA_MOB_MUSHPANG2_ATK1    	II_WEA_MOB_MUSHPANG2_ATK2    	II_WEA_MOB_MUSHPANG2_ATK3    	=	=	=	=	=	=	=	=	1000	5500	348	100	6	130	0	=	5	1	=	0.075	=	0	=	=	=	3	0.3	0	-0.3	0	0	12	=	=	=	=	50	5	0	=	=	1	II_WEA_HAN_HAND	VT_ITEM	=	=	=	=	=	=	=	=	SND_ITEM_ANIMAL 	SND_PC_DMGWANB	=	=	=	IDS_PROPMOVER_TXT_000017	AREA_NORMAL	=	31
